Cusp_ID,Id,Cycloid_Nu,Confidence,CompassA,DirMean,CirVar,AveX,AveY,AveLen,Lat_dd,Long_dd
28,5,10,1,308.9275436,141.0724564,0,4605459.898,471295.8,8842.802772,17.287,-11.077
29,1,11,3,105.2551187,344.7448813,0,3775361.102,23428.08132,11312.70067,0.859,-41.524
29,1,11,3,258.366366,191.633634,0,3760974.355,23097.35149,11480.66088,0.847,-42.052
30,2,11,3,97.27500496,352.724995,0,3879871.728,29877.31297,15670.45252,1.096,-37.69
30,2,11,3,265.0302593,184.9697407,0,3860854.763,30208.0428,15270.982,1.108,-38.388
31,1,12,1,112.7509763,337.2490237,0,3735922.673,-8315.367584,7115.28927,-0.305,-42.97
31,1,12,1,253.3007558,196.6992442,0,3725868.486,-8209.534039,8839.47719,-0.301,-43.339
32,2,12,1,117.1981279,332.8018721,0,3898284.56,-622.5917815,16063.66726,-0.023,-37.015
32,2,12,1,239.5889187,210.4110813,0,3884393.907,171.159806,10584.38798,0.006,-37.525
33,3,12,1,123.111342,326.888658,0,4060507.541,9299.303062,5448.918203,0.341,-31.065
33,3,12,1,230.7105931,219.2894069,0,4054058.309,9398.522011,5640.664848,0.345,-31.302
34,1,13,1,73.92642584,16.07357416,0,3908400.483,183391.0749,12996.42827,6.727,-36.644
34,1,13,1,311.4964684,138.5035316,0,3897076.294,184872.7445,7347.622961,6.781,-37.059
35,2,13,1,74.32047588,15.67952412,0,4041750.75,185401.9122,12531.33529,6.8,-31.753
35,2,13,1,300.9637565,149.0362435,0,4030955.728,185719.4128,6171.103098,6.812,-32.149
36,3,13,2,77.27564431,12.72435569,0,4199442.732,181909.4052,6726.885354,6.672,-25.969
36,3,13,2,289.2306724,160.7693276,0,4189282.711,183391.0749,9639.571194,6.727,-26.342
37,4,13,1,75.57922687,14.42077313,0,4286861.24,172384.3862,7649.356955,6.323,-22.763
37,4,13,1,302.2756443,147.7243557,0,4279241.225,173760.2223,4756.62625,6.373,-23.042
38,13,13,2,90,0,0,-4296334.574,-56095.68537,7143.764288,-2.058,22.415
